gene	vst_siCtrl_1st	vst_siCtrl_2nd	vst_siCtrl_3rd	vst_siKRT18_1st	vst_siKRT18_2nd	vst_siKRT18_3rd
E2F2	-0.155629379	-0.09391262	-0.16370048	0.09391262	0.116439994	0.136489321
RASIP1	-0.142944883	-0.139160454	-0.125111843	0.157141225	0.209130437	0.125111843
RMDN1	-0.202793692	-0.302241792	-0.104897703	0.104897703	0.132268107	0.267226091
PRODH	-0.265299909	-0.065021742	-0.100888437	0.125778025	0.091288077	0.065021742
TSC22D1	-0.167336816	-0.212605762	-0.396150899	0.196448572	0.188280476	0.167336816
KDM2B	-0.139794713	-0.235035921	-0.110351072	0.157426077	0.203190053	0.110351072
FAM175A	-0.049497405	-0.155869838	-0.270520224	0.126376292	0.049497405	0.084932549
RPN2	0.252465497	0.196283517	0.292019745	-0.30147326	-0.196283517	-0.222757565
MYL12A	0.303315715	0.279928368	0.203296672	-0.203296672	-0.228228802	-0.219571064
RPS6KA1	0.158946973	0.212626222	0.30324147	-0.213415508	-0.211797473	-0.158946973
CEBPA	0.158685058	0.230781635	0.303187286	-0.158685058	-0.197496054	-0.188755138
NOP9	0.14886871	0.229118069	0.233295385	-0.267511264	-0.207566754	-0.14886871
SLC7A6	0.097827778	0.210763939	0.281007512	-0.235631882	-0.182990831	-0.097827778
MCOLN1	0.049278661	0.135146372	0.284498431	-0.113881352	-0.049278661	-0.231808838
RPS6KA3	0.46126231	0.158482686	0.028127218	-0.028127218	-0.162660604	-0.144915688
XRCC5	0.275411251	0.170284857	0.298239018	-0.359277706	-0.218610893	-0.170284857
DUSP1	0.233738017	0.068553383	0.089028119	-0.068553383	-0.180738661	-0.2042339
MYO9A	0.300560463	0.191655426	0.015331877	-0.015331877	-0.169993573	-0.077112445
GFOD1	0.02797418	0.103869864	0.141526584	-0.02797418	-0.220513521	-0.240350895
FBXW11	0.261990145	0.143600705	0.080386587	-0.080386587	-0.202332121	-0.266434513
OLFML3	0.143143966	0.109537813	0.117650486	-0.12907583	-0.109537813	-0.125560097
MAP3K14	0.097302331	0.109538325	0.272869893	-0.165612215	-0.097302331	-0.180301632
RHOV	0.133472787	0.12824346	0.059081891	-0.200160354	-0.059081891	-0.146244882
TMED5	0.468760396	0.290612596	-0.070194488	0.070194488	-0.217505408	-0.300460996
TNFRSF1B	0.241014573	0.110540598	0.295496801	-0.113086968	-0.110540598	-0.113854429
GAN	0.354835377	0.341956792	-0.028928723	0.028928723	-0.187514638	-0.085408405
DNAJC3	0.474354314	0.251811912	0.087546509	-0.087546509	-0.152716617	-0.175248628
RHOC	0.159808993	0.259229761	0.425942917	-0.303221765	-0.159808993	-0.207852432
LRP11	0.488872077	0.330761928	-0.050574514	0.050574514	-0.177864019	-0.240355354
TMEM189	0.205150411	0.16592681	0.285121215	-0.16592681	-0.223696672	-0.266653742
AP3S2	0.115866002	0.228031262	0.295770005	-0.206844759	-0.226930937	-0.115866002
KRT80	0.175445058	0.319248551	0.366749386	-0.248471729	-0.175445058	-0.194131052
PLA2G16	0.195610818	0.183234684	0.331786438	-0.295463222	-0.183234684	-0.190650742
TUSC2	0.132455404	0.17951835	0.343783276	-0.271642667	-0.132455404	-0.200152587
LINC01057	0.237528895	0.162030008	0.30010401	-0.235161349	-0.162030008	-0.191164053
IDI1	0.363328861	0.257987818	0.135509214	-0.135509214	-0.209445857	-0.276855457
FNDC3B	0.389179347	0.214098766	-0.037170408	0.037170408	-0.313322484	-0.306824315
TAGLN	0.207063457	0.228589147	0.375759826	-0.311372791	-0.207063457	-0.212915182
TMEM199	0.139806687	0.08840853	0.2604574	-0.29339696	-0.227048987	-0.08840853
PSG7	0.114058136	0.222441283	0.31800687	-0.128445475	-0.136300813	-0.114058136
TMC5	0.083649784	0.139108884	0.180742848	-0.190512589	-0.235977528	-0.083649784
RHPN2	0.360790573	0.246258976	0.179000807	-0.179000807	-0.234064805	-0.20447461
TMEM87B	0.389761955	0.276636091	-0.008554947	0.008554947	-0.21020399	-0.294339609
GPRC5A	0.208214403	0.283639011	0.327337166	-0.330297911	-0.208515561	-0.208214403
USP46	0.331548107	0.254126659	0.027762611	-0.027762611	-0.162985273	-0.039533786
SLC36A1	0.216755491	0.072246316	0.244073371	-0.15953335	-0.115624576	-0.072246316
LMO7	0.465543672	0.178174703	-0.030092265	0.030092265	-0.248885312	-0.192785273
INADL	0.423711324	0.360570914	0.057565699	-0.057565699	-0.122914728	-0.195161071
QDPR	0.175889999	0.205675431	0.306574719	-0.242852328	-0.175889999	-0.202755057
MANBAL	0.130337253	0.251666629	0.337455513	-0.227967186	-0.20630898	-0.130337253
LRRC57	0.145124087	0.136187615	0.120666336	-0.126002267	-0.120666336	-0.291750813
CCL5	0.048334287	0.178610865	0.320572583	-0.140145318	-0.048334287	-0.074925863
HNF1B	0.208815111	0.070509577	0.165296071	-0.129245959	-0.070509577	-0.218537206
GLO1	0.359633552	0.287706986	0.209017129	-0.253433228	-0.209017129	-0.2179827
AGPAT9	0.101199999	0.131861214	0.099375451	-0.14718733	-0.118801102	-0.099375451
SUMF1	0.211898275	0.138829471	0.253555405	-0.164709835	-0.181093951	-0.138829471
KRT81	0.116810728	0.263096187	0.138964549	-0.158469706	-0.116810728	-0.169454434
MIR22HG	0.189138685	0.133867478	0.136215445	-0.227031066	-0.133867478	-0.235213122
SLC35E1	0.201834449	0.156230613	0.178527402	-0.235535426	-0.187663639	-0.156230613
POU2F3	0.084863631	0.07203591	0.166255833	-0.159672993	-0.07203591	-0.145798423
SYNPO	0.049108583	0.356918944	0.18951971	-0.101381844	-0.117589684	-0.049108583
CDH17	0.240536823	0.092121788	0.094142995	-0.092121788	-0.25894053	-0.259987035
SAMD4A	0.348448924	0.283237939	0.169172083	-0.169172083	-0.169291313	-0.213743323
STAM2	0.34367698	0.11325543	0.031957519	-0.031957519	-0.088036483	-0.231392251
PHC3	0.294711314	0.282048241	0.012005346	-0.012005346	-0.128881118	-0.221244965
USP12	0.360677238	0.273798837	0.115994	-0.118424453	-0.171783418	-0.115994
TOR1B	0.22926407	0.14846797	0.220320748	-0.186814573	-0.163545481	-0.14846797
RCOR1	0.429536909	0.222169532	0.129930128	-0.129930128	-0.149536135	-0.165846309
GJB3	0.20998239	0.12086011	0.36833922	-0.271242633	-0.181181672	-0.12086011
GRHL3	0.118726513	0.271143162	0.273364464	-0.118726513	-0.173856775	-0.174253241
SMCR8	0.112745087	0.201987595	0.16416464	-0.112745087	-0.227603832	-0.137984096
SAMD5	0.348021162	0.282970999	0.061490573	-0.061490573	-0.123029195	-0.068693836
IL17RD	0.202959769	0.25023933	0.116141135	-0.127771131	-0.196957647	-0.116141135
AGFG2	0.14705585	0.105644199	0.237028018	-0.105644199	-0.133130077	-0.233502371
GCNT3	0.218177954	0.160611167	0.209317938	-0.160611167	-0.166652923	-0.202645
PSG1	0.300400466	0.190890317	0.305250858	-0.288675212	-0.202800907	-0.190890317
LRRC8A	0.161272791	0.281387005	0.394034632	-0.214981263	-0.161272791	-0.196391496
TMED10	0.438012141	0.303709072	0.206465344	-0.206465344	-0.278255588	-0.267133507
CTB-96E2.2	0.147486741	0.329130824	0.41570252	-0.181792733	-0.159145174	-0.147486741
SNX33	0.163138657	0.126871501	0.248877185	-0.223488586	-0.214678063	-0.126871501
S100A4	0.244470499	0.205092665	0.512258609	-0.219451669	-0.205092665	-0.246841766
CLIC3	0.037669856	0.316349734	0.432119102	-0.037669856	-0.188763419	-0.060662681
CSRP1	0.21394587	0.311616664	0.428776096	-0.307867163	-0.21394587	-0.256667972
PGM2L1	0.41492555	0.307205086	0.10319978	-0.10319978	-0.165545475	-0.135125599
RP11-342K6.1	0.198308187	0.078872773	0.141540895	-0.134521373	-0.131820874	-0.078872773
SLC35D1	0.282608343	0.070781282	0.05919476	-0.111324524	-0.129188958	-0.05919476
AC006262.5	0.179836431	0.162332794	0.424876422	-0.322234237	-0.162332794	-0.263539154
SNX12	0.260827912	0.228332711	0.205716365	-0.304625373	-0.263267801	-0.205716365
GPRC5B	0.143187987	0.130123486	0.229102414	-0.217268076	-0.228440066	-0.130123486
RSAD2	0.450551205	0.142894708	0.120186618	-0.120186618	-0.161454219	-0.228644456
RP11-146B14.1	0.087891016	0.134010904	0.07096928	-0.172690467	-0.173033686	-0.07096928
GALNT5	0.348332957	0.138625871	0.113023886	-0.226868629	-0.156639003	-0.113023886
NCEH1	0.400944811	0.241233889	0.071623277	-0.072465941	-0.169054479	-0.071623277
E2F5	0.371219266	0.20559567	0.1101052	-0.1101052	-0.144761798	-0.234860507
UCA1	0.311518887	0.228997781	0.451648744	-0.331621302	-0.228997781	-0.260811941
CXCL16	0.220717668	0.286967097	0.405927345	-0.31342921	-0.25399802	-0.220717668
FBXL18	0.083574324	0.223420209	0.049897608	-0.049897608	-0.186410905	-0.202116854
CCND1	0.286496257	0.301355012	0.340659232	-0.286496257	-0.337574803	-0.331479519
QSER1	0.574228626	0.380180329	0.042746747	-0.052057986	-0.079517795	-0.042746747
PYURF	0.225755821	0.232821456	0.250348634	-0.225755821	-0.309932107	-0.266461013
RP11-2C24.9	0.15793325	0.239944014	0.311386318	-0.209772799	-0.15793325	-0.175262957
EPB41L4B	0.26702159	0.149457649	0.141988995	-0.141988995	-0.171108553	-0.195329916
ADAMTS14	0.215252441	0.471914865	0.127177658	-0.127177658	-0.150981553	-0.146886273
HYOU1	0.289398435	0.282789479	0.379496364	-0.3246947	-0.297989458	-0.282789479
RNF38	0.36413585	0.134207819	0.025829014	-0.025829014	-0.281719704	-0.331344459
SLC9A6	0.342109034	0.220017161	0.056906257	-0.056906257	-0.260334296	-0.092087372
PRDM11	0.090316284	0.112306579	0.108792396	-0.27312282	-0.090316284	-0.133980246
HEG1	0.385831869	0.370025875	0.182192616	-0.182192616	-0.221926732	-0.207815002
MBOAT7	0.206351647	0.362225506	0.5418	-0.270978904	-0.2632726	-0.206351647
EMC10	0.236578037	0.350985276	0.520275542	-0.252062948	-0.25688073	-0.236578037
SLPI	0.181772487	0.248213275	0.297792879	-0.232945831	-0.207652612	-0.181772487
CLOCK	0.457356159	0.267280813	0.100350582	-0.100350582	-0.279192529	-0.306659504
UXS1	0.337747026	0.223329111	0.190151715	-0.190151715	-0.261018248	-0.288541338
IL32	0.249071681	0.355347861	0.405336898	-0.377712357	-0.249071681	-0.289033111
LGMN	0.315961485	0.286185128	0.437288788	-0.389337038	-0.304771181	-0.286185128
TRNP1	0.16669828	0.284977955	0.328072533	-0.257546427	-0.208090409	-0.16669828
YOD1	0.483728142	0.350759186	0.044017088	-0.044017088	-0.295136767	-0.224946191
VAPA	0.444351478	0.342413289	0.251710436	-0.251710436	-0.351682361	-0.293082241
RAB40B	0.112008422	0.124439749	0.137796979	-0.186857281	-0.112008422	-0.200514749
OCRL	0.251123016	0.293872687	0.178964101	-0.218971914	-0.189807023	-0.178964101
PIK3R3	0.246037521	0.078090291	0.251880258	-0.105014872	-0.197805412	-0.078090291
MUC13	0.290763835	0.21680793	0.278172355	-0.348075366	-0.294122221	-0.21680793
C1orf116	0.267639954	0.336814083	0.393333872	-0.414657922	-0.267639954	-0.317560744
SARM1	0.126497708	0.219722457	0.282644509	-0.133181554	-0.158311889	-0.126497708
FSTL3	0.28997582	0.440952471	0.499553752	-0.304822775	-0.297411467	-0.28997582
TMEM38A	0.098106476	0.135603605	0.24940373	-0.182670777	-0.098106476	-0.190023108
CYB5R3	0.226872458	0.427649934	0.591334085	-0.317274232	-0.226872458	-0.260715015
CDA	0.07170631	0.179478294	0.245287549	-0.07170631	-0.096114893	-0.177861602
CTD-2587H24.14	0.268468043	0.30898277	0.328042557	-0.268468043	-0.288132748	-0.287007996
FAM63B	0.505516283	0.233404221	-0.077505442	0.077505442	-0.272149453	-0.318622939
RP11-242J7.1	0.096066428	0.10352293	0.105822606	-0.205927675	-0.13225788	-0.096066428
RP11-7K24.3	0.07432452	0.189124611	0.086596486	-0.174037289	-0.113581533	-0.07432452
IFIT2	0.404845144	0.244367168	0.242364985	-0.323645083	-0.242364985	-0.313687994
TNFAIP3	0.20923635	0.245989075	0.097960405	-0.097960405	-0.117497486	-0.104069044
PSAPL1	0.076439943	0.18286044	0.139154201	-0.076439943	-0.104053515	-0.078345906
PPP6R1	0.242610674	0.41097842	0.490836677	-0.242610674	-0.322598006	-0.354510239
ARHGDIB	0.093455941	0.158010136	0.107869185	-0.261803984	-0.093455941	-0.154083483
TGFBR3	0.384654645	0.190722835	0.044092213	-0.044092213	-0.202783412	-0.328522714
CFL2	0.509217937	0.367356555	0.157777339	-0.157777339	-0.240174608	-0.252695012
CCRN4L	0.126577582	0.208610871	0.27842998	-0.158652873	-0.126577582	-0.172412591
KLK14	0.090939811	0.202339338	0.214977632	-0.100340912	-0.090939811	-0.272164233
FGFBP1	0.156544486	0.06275082	0.277357189	-0.099297116	-0.06275082	-0.094744828
BIRC3	0.253521576	0.227259842	0.122974121	-0.139740171	-0.191243901	-0.122974121
MRS2	0.481275745	0.338721048	0.2094089	-0.221218535	-0.254839476	-0.2094089
NBEAL1	0.266977099	0.232037945	0.05617672	-0.05617672	-0.083926085	-0.082012315
LZTFL1	0.257830313	0.111657679	0.087068534	-0.128363281	-0.087068534	-0.19521951
ALPP	0.302064264	0.351596913	0.531986937	-0.408184382	-0.356736282	-0.302064264
AKAP5	0.265269606	0.273565333	0.072457445	-0.115023853	-0.081597594	-0.072457445
RELB	0.159083509	0.30175821	0.2174543	-0.28132074	-0.185417313	-0.159083509
PIWIL4	0.159102552	0.115551836	0.108988779	-0.108988779	-0.128622172	-0.215404617
USH1G	0.045601715	0.300557389	0.283200454	-0.087686027	-0.332418484	-0.045601715
AXL	0.225022691	0.312848488	0.161986907	-0.221923923	-0.196235247	-0.161986907
EMP3	0.269320231	0.34790292	0.531701651	-0.339914565	-0.269320231	-0.315807919
SYTL4	0.359116075	0.132595024	0.214608449	-0.135838972	-0.132595024	-0.196507603
LINC01559	0.063226742	0.097512829	0.148173531	-0.235542324	-0.10212289	-0.063226742
ZNF460	0.233129817	0.591178609	-0.016103929	0.016103929	-0.157794231	-0.046747195
CDS1	0.456109555	0.330786707	0.242011594	-0.242011594	-0.308794797	-0.288545784
SLC30A7	0.596986887	0.477265638	0.057093788	-0.057093788	-0.210310846	-0.258308254
UHMK1	0.781998697	0.499657287	0.073868304	-0.073868304	-0.369500806	-0.446276772
LMLN	0.242033928	0.309916157	0.060845202	-0.177614843	-0.060845202	-0.128990277
SERPINB2	0.474807659	0.305069772	0.075482562	-0.075482562	-0.205294358	-0.159189965
TTN	0.103394686	0.37223974	0.041940375	-0.041940375	-0.180590639	-0.054340136
MGLL	0.302185292	0.263916158	0.435362929	-0.422589925	-0.302161936	-0.263916158
IGF2BP2	0.543017102	0.389754684	0.337491446	-0.348470931	-0.409711907	-0.337491446
ESRG	0.106661558	0.363794012	0.060214807	-0.131703012	-0.238500721	-0.060214807
ADAM32	0.099183327	0.092258739	0.099176059	-0.185674841	-0.092258739	-0.10898687
HIST2H2BE	0.133418036	0.437944398	0.088912652	-0.096334863	-0.22413989	-0.088912652
MGAT5	0.472407363	0.399307577	0.418677754	-0.40649964	-0.399307577	-0.401604178
GNE	0.230024559	0.178514744	0.063977902	-0.090895453	-0.063977902	-0.073931526
NPPB	0.225055361	0.429475574	0.431353395	-0.471329868	-0.225055361	-0.446529491
UBD	0.14561755	0.095696455	0.233821092	-0.095696455	-0.113108929	-0.1435758
NFKB1	0.418659398	0.42512843	0.360330516	-0.360330516	-0.444293983	-0.37692418
IL1RN	0.202480763	0.223792312	0.19414416	-0.304769363	-0.19414416	-0.219817475
HIST1H2AM	0.093111062	0.424884171	0.047525721	-0.047525721	-0.175661236	-0.052292503
HIST1H1E	0.156579477	0.476576146	0.079596094	-0.079596094	-0.270812004	-0.09898248
ZBED6	0.140909493	0.39842712	0.044707306	-0.044707306	-0.264835816	-0.14101015
HIST1H2AE	0.233411913	0.541031888	-0.050393604	0.050393604	-0.273396732	-0.128695981
HIST1H1B	0.265198034	0.559130679	-0.047225945	-0.037042467	-0.277176147	0.037042467
RPPH1	0.642524809	1.5890397	0.203347866	-0.203347866	-0.681425779	-0.231111501
KRT18	0.979283556	1.08157964	1.218721148	-1.116482789	-1.075806369	-0.979283556
KRT18P10	0.104641688	0.432686439	0.531498018	-0.118464065	-0.134739753	-0.104641688
FP236383.4	-0.016130111	0.176888426	0.830999337	-0.016235692	-0.049567624	0.016130111
